x,y,Width,Height,Var,ContrastMichelson,Entropy,IsSplit
712,368,8,8,4268.1,0.658402,4.75327,1
696,376,8,8,634.07,0.5,4.05786,1
640,256,16,16,8337.87,0.504292,6.12449,1
656,256,16,16,6869.65,0.600746,5.88489,1
688,256,16,16,3602.2,0.584475,5.48242,1
704,256,16,16,4046.93,0.5,5.5765,1
640,288,16,16,3050.44,0.590457,5.32881,1
656,288,16,16,3218.65,0.61674,5.29938,1
672,288,16,16,3659.56,0.613577,5.61967,1
688,288,16,16,3909.15,0.51938,5.62483,1
704,288,16,32,1324.8,0.47549,5.04391,1
720,288,16,32,4409.21,0.600746,5.86573,1
736,288,16,16,3920.68,0.523077,5.5929,1
656,304,16,16,1215.71,0.520202,4.47665,1
672,304,16,16,673.143,0.467577,4.43138,1
640,320,32,32,5008.11,0.652672,6.03384,1
672,320,16,16,1559.65,0.552716,4.96564,1
688,320,16,16,4713.57,0.523605,5.44371,1
720,320,16,16,3213.7,0.568932,5.20066,1
736,320,16,16,5006.75,0.635271,5.82045,1
752,320,16,16,3880.27,0.575107,5.55353,1
672,336,16,16,4486.61,0.710372,5.61449,1
688,336,16,16,4611.42,0.674009,5.10772,1
704,336,16,16,7124.44,0.616842,5.77452,1
720,336,16,16,1085.12,0.397183,4.77315,1
736,336,16,16,5568.23,0.69163,5.55586,1
752,336,16,16,4678.83,0.696099,5.71941,1
672,352,8,32,9204.5,0.748654,5.00345,1
680,352,16,32,2418.27,0.686869,4.82627,1
696,352,8,32,7859.64,0.716247,5.86878,1
704,352,16,16,5347.97,0.627803,5.67425,1
720,352,16,16,1600.2,0.614035,4.91852,1
736,352,8,32,5344.56,0.713626,5.42095,1
744,352,16,32,1018.01,0.708738,4.40512,1
760,352,8,32,1766.94,0.741325,4.42813,1
640,368,32,16,8125.42,0.721519,6.02673,1
704,368,16,16,8194.62,0.73516,5.56462,1
720,368,16,16,258.258,0.454545,3.78237,1
640,256,32,32,16262.2,0.735149,6.79465,1
672,256,32,32,3442.35,0.595556,5.76583,1
704,256,32,32,5285.19,0.615799,6.06024,1
640,288,32,32,6242.53,0.65748,5.89305,1
672,288,32,32,5549.25,0.682403,5.98572,1
704,288,32,32,3993.51,0.600746,5.76617,1
736,288,32,32,4874.81,0.679012,6.04093,1
672,320,32,32,4754.2,0.723866,5.70704,1
704,320,32,32,4461.82,0.638889,5.77656,1
736,320,32,32,5952.25,0.710145,6.05444,1
640,352,32,32,7925.03,0.733333,6.20284,1
672,352,32,32,6392.47,0.774135,5.4476,1
704,352,32,32,6232.62,0.751152,5.70696,1
736,352,32,32,3188.1,0.800971,5.07559,1
792,256,4,8,500.093,0.373585,3.64737,0
796,256,4,8,3499.59,0.549133,4.60141,0
816,264,4,8,1707.09,0.466258,4.41391,0
820,264,4,8,717.257,0.388235,4.09314,0
784,272,8,4,6088.13,0.609499,4.35141,0
816,272,8,4,2460.67,0.605096,4.15564,0
784,276,8,4,2466.69,0.532394,3.41341,0
800,276,4,8,3670,0.665706,4.20282,0
804,276,4,8,642.527,0.419355,3.78064,0
808,276,8,4,149.351,0.329193,3.19012,0
816,276,8,4,761.609,0.428571,3.94143,0
808,280,8,4,257.34,0.423077,3.61673,0
776,288,4,4,1983.15,0.498489,3.07782,0
780,288,4,4,8591.31,0.620042,3.70282,0
888,288,4,8,265.465,0.261194,3.62581,0
892,288,4,8,847.374,0.388571,4.02752,0
776,292,4,8,2411.66,0.463127,4.24173,0
780,292,4,8,1285.33,0.478873,4.01532,0
776,300,4,4,817.715,0.240106,3.375,0
780,300,4,4,1201.31,0.381503,3.45282,0
880,304,4,8,41.5693,0.177305,2.64113,0
884,304,4,8,3013.43,0.601078,3.98034,0
888,304,4,8,4679.65,0.505568,4.66391,0
892,304,4,8,1887.65,0.261168,4.32782,0
888,312,8,4,1133.25,0.244068,3.90252,0
888,316,8,4,1081,0.2125,4.28891,0
860,320,4,8,26.2959,0.203883,2.22802,0
868,320,4,8,115.757,0.430556,2.58044,0
872,320,4,8,5771.84,0.69697,4.06643,0
860,328,4,8,9640.91,0.701031,4.32782,0
868,328,4,8,2658.34,0.575758,4.24173,0
872,328,4,8,2526.71,0.38809,4.375,0
844,336,4,4,187,0.283237,2.375,0
844,340,4,4,7433.31,0.618557,3.375,0
804,352,8,4,261.968,0.333333,3.16784,0
804,356,8,4,1640.42,0.5,3.0742,0
